CageCode,Description,VendorCode,PreludeKey,ExportDate
,SALES@MILEHIMACHINE.COM,2538.0,001!,2024-07-09 16:15:44.000
 /tai,,,001! /tai,2024-07-09 16:15:44.000
 03038,,,001! 03038,2024-07-09 16:15:44.000
07690,,,001! 07690,2024-07-09 16:15:44.000
0ACP0,DIST,,001! 0ACP0,2024-07-09 16:15:44.000
0KXH9,bhurley@spi-co.com,,001! 0KXH9,2024-07-09 16:15:44.000
18863,,,001! 18863,2024-07-09 16:15:44.000
19522,ESAB DIST,,001! 19522,2024-07-09 16:15:44.000
1CRL3,dcunningham@marshbellofram.com,,001! 1CRL3,2024-07-09 16:15:44.000
1M7N0,cmccoy@krayden.com,,001! 1M7N0,2024-07-09 16:15:44.000
21821,kamp-rite@gbis.com,,001! 21821,2024-07-09 16:15:44.000
3V431,websales@derf.com,,001! 3V431,2024-07-09 16:15:44.000
3WYK5,wwenzlau@wenzlau.com,,001! 3WYK5,2024-07-09 16:15:44.000
4BNK0,3,,001! 4BNK0,2024-07-09 16:15:44.000
554B9,psicutts@aol.com,,001! 554B9,2024-07-09 16:15:44.000
62722,northrop grumman,,001! 62722,2024-07-09 16:15:44.000
79318,DIST: V# 4155 & V# 3293 &,,001! 79318,2024-07-09 16:15:44.000
7L855,customer.services@ultra-pcs.co,,001! 7L855,2024-07-09 16:15:44.000
89630,garyw@bjwe.com,,001! 89630,2024-07-09 16:15:44.000
89698,lynn.masters@bakerhughes.com,,001! 89698,2024-07-09 16:15:44.000
97197,E&M EUIP (F)614-236-1370,,001! 97197,2024-07-09 16:15:44.000
/,,,001!/,2024-07-09 16:15:44.000
00000,uwe@intproducts.com,,001!00000,2024-07-09 16:15:44.000
000000,,,001!000000,2024-07-09 16:15:44.000
000005,,,001!000005,2024-07-09 16:15:44.000
00026,info@alko-tech.com,5.0,001!00026,2024-07-09 16:15:44.000
00048,,,001!00048,2024-07-09 16:15:44.000
00060,cctv@ikegami.com,100078.0,001!00060,2024-07-09 16:15:44.000
00062,CAROTEK (F) 704-844-2755,100140.0,001!00062,2024-07-09 16:15:44.000
000721,,,001!000721,2024-07-09 16:15:44.000
00079,Rcottet@sealingdevices.com ,,001!00079,2024-07-09 16:15:44.000
00088,,,001!00088,2024-07-09 16:15:44.000
00096,MUST FAX ALL RFQ'S,5.0,001!00096,2024-07-09 16:15:44.000
000B3,aasbury@pinnaclecentral.com,,001!000B3,2024-07-09 16:15:44.000
000F6,scott.junkin1@parker.com,1042.0,001!000F6,2024-07-09 16:15:44.000
001049,,,001!001049,2024-07-09 16:15:44.000
00115,,,001!00115,2024-07-09 16:15:44.000
001230,,,001!001230,2024-07-09 16:15:44.000
00124,,6706.0,001!00124,2024-07-09 16:15:44.000
00136,manny.hernandez@turbopowerllc.,,001!00136,2024-07-09 16:15:44.000
00140,,,001!00140,2024-07-09 16:15:44.000
00141,STEELMASTERS,2417.0,001!00141,2024-07-09 16:15:44.000
00143,,,001!00143,2024-07-09 16:15:44.000
00144,KAGUIRRE@PLASTIFABONLINE.COM,1270.0,001!00144,2024-07-09 16:15:44.000
001455,,,001!001455,2024-07-09 16:15:44.000
00147,,,001!00147,2024-07-09 16:15:44.000
00159,DO NOT USE,2604.0,001!00159,2024-07-09 16:15:44.000
00162,sales@superiorscale.com,5.0,001!00162,2024-07-09 16:15:44.000
00175,hzumbrun@mhforce.com,,001!00175,2024-07-09 16:15:44.000
00179,sales@riverbendhose.com_,824.0,001!00179,2024-07-09 16:15:44.000
00198,zipchem@addevmaterials.com,102648.0,001!00198,2024-07-09 16:15:44.000
001JK,Darran@BuffersUSA.com,,001!001JK,2024-07-09 16:15:44.000
001Y1,PRECISION (F)520-744-9290,3590.0,001!001Y1,2024-07-09 16:15:44.000
001Y9,rotaryaire@multipro.com,5.0,001!001Y9,2024-07-09 16:15:44.000
00210,jrwood@j6polymers.com,8471.0,001!00210,2024-07-09 16:15:44.000
00213,curt.belile@kirbycorp.com,102549.0,001!00213,2024-07-09 16:15:44.000
00219,,100078.0,001!00219,2024-07-09 16:15:44.000
00222,EULESS (F) 817-545-2429,101935.0,001!00222,2024-07-09 16:15:44.000
00228,SCANDIA PROPELR F508 991-8253,,001!00228,2024-07-09 16:15:44.000
00248,dist,109550.0,001!00248,2024-07-09 16:15:44.000
00255,,8052.0,001!00255,2024-07-09 16:15:44.000
00256,,106245.0,001!00256,2024-07-09 16:15:44.000
00268,sales@siig.com,5.0,001!00268,2024-07-09 16:15:44.000
00284,accounts@ultrangroup.com,,001!00284,2024-07-09 16:15:44.000
00285,hzumbrun@mhforce.com,,001!00285,2024-07-09 16:15:44.000
00287,SCHAEFER (F) 508-995-4882,8350.0,001!00287,2024-07-09 16:15:44.000
00288,dshepard@macomp.com,4162.0,001!00288,2024-07-09 16:15:44.000
00289,,100140.0,001!00289,2024-07-09 16:15:44.000
00293,randy.sniff@modernusa.com,7005.0,001!00293,2024-07-09 16:15:44.000
00299,scott.l.bowser@modine.com,1456.0,001!00299,2024-07-09 16:15:44.000
002H2,snoles@planomolding.com,,001!002H2,2024-07-09 16:15:44.000
002T1,sales@thundertechllc.com,,001!002T1,2024-07-09 16:15:44.000
00303,information@xenotronix.com,7310.0,001!00303,2024-07-09 16:15:44.000
00307,melissa.mckee@dynisco.com,,001!00307,2024-07-09 16:15:44.000
00328,edaadefenseservices@gmail.com,3663.0,001!00328,2024-07-09 16:15:44.000
00333,,106342.0,001!00333,2024-07-09 16:15:44.000
00334,office@chattmed.com,6834.0,001!00334,2024-07-09 16:15:44.000
00341,,,001!00341,2024-07-09 16:15:44.000
00347,swilliams@endural.com,,001!00347,2024-07-09 16:15:44.000
00348,contact@reversopumps.com,,001!00348,2024-07-09 16:15:44.000
00360,Laura.morge@peigenesis.com,2380.0,001!00360,2024-07-09 16:15:44.000
00365,sales@johnsonelectric.com,6585.0,001!00365,2024-07-09 16:15:44.000
0038,,,001!0038,2024-07-09 16:15:44.000
00388,BENNETT MFG (F) 716-937-3137,104472.0,001!00388,2024-07-09 16:15:44.000
003G7,estimates@gal.com,5.0,001!003G7,2024-07-09 16:15:44.000
00403,debwible@nghretail.com,2.0,001!00403,2024-07-09 16:15:44.000
00404,BASSETT ROTARY TOOL DISTR:,6254.0,001!00404,2024-07-09 16:15:44.000
00410,pbernas@noco.com,,001!00410,2024-07-09 16:15:44.000
00416,,7164.0,001!00416,2024-07-09 16:15:44.000
00426,PAT EQUIPMENT,112016.0,001!00426,2024-07-09 16:15:44.000
00443,,3358.0,001!00443,2024-07-09 16:15:44.000
00447,sales.us@tente.com,1049.0,001!00447,2024-07-09 16:15:44.000
00459,,,001!00459,2024-07-09 16:15:44.000
00462,SNAP-TITE,8028.0,001!00462,2024-07-09 16:15:44.000
00471,MOTION INDUSTRIES 06/17,5.0,001!00471,2024-07-09 16:15:44.000
004F1,pioneer is dist,,001!004F1,2024-07-09 16:15:44.000
004N3,,104582.0,001!004N3,2024-07-09 16:15:44.000
004U1,pweinstein@crystalonics.com,,001!004U1,2024-07-09 16:15:44.000
005014,,,001!005014,2024-07-09 16:15:44.000
00503,emergco.com,8010.0,001!00503,2024-07-09 16:15:44.000
00515,jono.bixby@malcom.com,103514.0,001!00515,2024-07-09 16:15:44.000
00539,KPERKINS@HARTZELLPROP.COM,,001!00539,2024-07-09 16:15:44.000
00550,,103506.0,001!00550,2024-07-09 16:15:44.000
005K1,sales@oxleygroup.com,,001!005K1,2024-07-09 16:15:44.000
005K6,sales@q3inds.com,698.0,001!005K6,2024-07-09 16:15:44.000
005VU,,8606.0,001!005VU,2024-07-09 16:15:44.000
00607,,2829.0,001!00607,2024-07-09 16:15:44.000
00615,,,001!00615,2024-07-09 16:15:44.000
00624,vspmarine@voith.com,2033.0, 001!00624,2024-07-09 16:15:44.000
00642,,7419.0,001!00642,2024-07-09 16:15:44.000
00646,info@kleenoilusa.com,45.0,001!00646,2024-07-09 16:15:44.000
006483,,,001!006483,2024-07-09 16:15:44.000
006521,,,001!006521,2024-07-09 16:15:44.000
00656,robin_lewis@pompanette.com,,001!00656,2024-07-09 16:15:44.000
00666,crane aero online catalog,108323.0,001!00666,2024-07-09 16:15:44.000
00671,adaniels@beckman.com,3132.0,001!00671,2024-07-09 16:15:44.000
00672,david.henkelmann@us.abb.com,2033.0,001!00672,2024-07-09 16:15:44.000
006746,,,001!006746,2024-07-09 16:15:44.000
00678,mgeraci@intricon.com,,001!00678,2024-07-09 16:15:44.000
00679,F - 908-735-2068,,001!00679,2024-07-09 16:15:44.000
00698,,,001!00698,2024-07-09 16:15:44.000
006V4,DO NOT SEND - SENT TO MARIA,5.0,001!006V4,2024-07-09 16:15:44.000
00710,sswanson@striegelsupply.com,,001!00710,2024-07-09 16:15:44.000
00715,DO NOT SEND RFQ'S! THEY MEAN!,,001!00715,2024-07-09 16:15:44.000
0071N,,106311.0,001!0071N,2024-07-09 16:15:44.000
00724,,6555.0,001!00724,2024-07-09 16:15:44.000
00736,rich.ritzema@whaler.com,105905.0,001!00736,2024-07-09 16:15:44.000
00741,cmccoy@krayden.com,109.0,001!00741,2024-07-09 16:15:44.000
00742,Sales.IOS@L-3com.com,,001!00742,2024-07-09 16:15:44.000
00743,SEdwards@spokaneindustries.com,,001!00743,2024-07-09 16:15:44.000
00752,RPA BIDS DIRECT DON'T BOTHER,,001!00752,2024-07-09 16:15:44.000
0076,,,001!0076,2024-07-09 16:15:44.000
00768,support@proponent.com,,001!00768,2024-07-09 16:15:44.000
00773,sales@normanfilters.com,,001!00773,2024-07-09 16:15:44.000
007779,,,001!007779,2024-07-09 16:15:44.000
00779,sales@qualiseal.com,111402.0,001!00779,2024-07-09 16:15:44.000
00784,,6103.0,001!00784,2024-07-09 16:15:44.000
00795,SANYO ENERGY USA DISTRIBUTOR:,3465.0,001!00795,2024-07-09 16:15:44.000
007F8,jscott@emfdavits.com,3635.0,001!007F8,2024-07-09 16:15:44.000
007R1,sales@finncorp.com,5.0,001!007R1,2024-07-09 16:15:44.000
00809,"AIL SYST.,DIRECT GOVT.ONLY",5.0,001!00809,2024-07-09 16:15:44.000
00816,STEFANIE.RICHARD@THERMOFISHER.,,001!00816,2024-07-09 16:15:44.000
00819,ANPHRO3@SBCGLOBAL.NET,45.0,001!00819,2024-07-09 16:15:44.000
00843,sales@ustacticalsupply.com,1042.0,001!00843,2024-07-09 16:15:44.000
00853,jkomar@lubecorp.com,2538.0,001!00853,2024-07-09 16:15:44.000
00874,salesinfo@team-twg.com,2948.0,001!00874,2024-07-09 16:15:44.000
00905,LORETTA@VIZIFLEX.COM,3476.0,001!00905,2024-07-09 16:15:44.000
00907,,,001!00907,2024-07-09 16:15:44.000
